Name,PAN,CIBIL,DOB,Loan_Type,Sanctioned_Amount,Current_Amount,Credit_Card,Late_Payment,Loan_Tenure,Interest_Rate,Monthly_Income,Monthly_EMI,Previous_Loans,Defaults,Credit_Cards_Count,Credit_Utilization,Loan_Repayment_History,Other_Debts,Employment_Type,Existing_EMIs,Savings_Balance,Total_Annual_Income,Debt_to_Income_Ratio
Rushil Varma,ZVLEO9461U,417,1976-08-04,Personal Loan,14710,5433,NO,NO,3,17.15,60672,5490,2,2,2,57,Poor,YES,Salaried,1,488359,728064,0.09
Om Ganesan,LJBDJ9055W,740,1972-07-11,Home Loan,38801,35955,YES,YES,1,14.9,87018,2658,3,1,2,89,Good,YES,Freelancer,2,456670,1044216,0.03
Siddharth Kadakia,XKPQO9930V,793,1970-07-21,Personal Loan,14451,361,NO,NO,2,9.93,124485,12829,0,0,1,73,Good,YES,Freelancer,2,202743,1493820,0.1
Damyanti Dara,WADZO8954E,756,1989-07-12,Car Loan,34594,28460,YES,YES,8,11.62,74139,2198,0,0,1,10,Good,YES,Self-Employed,3,411777,889668,0.03
Balveer Bhatnagar,PRQHB4956L,486,1975-09-08,Personal Loan,6133,602,NO,NO,7,15.31,180085,17528,5,0,5,56,Average,YES,Freelancer,1,260668,2161020,0.1
Chakradhar Dave,OOPGX9718A,767,1989-03-11,Car Loan,38720,25080,NO,YES,8,8.89,99148,16690,3,1,0,77,Good,NO,Salaried,2,127724,1189776,0.17
Bhavika Sabharwal,NZLVJ7468F,879,1986-12-31,Home Loan,37106,19439,YES,NO,7,10.3,132520,19860,1,1,0,65,Average,NO,Salaried,1,219128,1590240,0.15
Yuvraj Jani,JKQUN9506X,619,1977-07-29,Education Loan,38387,164,YES,NO,10,14.57,194804,15916,1,0,1,37,Poor,YES,Salaried,0,438397,2337648,0.08
Keya Bhargava,YMNNJ6496K,639,1998-05-11,Education Loan,39731,20596,YES,YES,7,8.4,183972,10776,4,2,2,63,Poor,NO,Freelancer,0,404350,2207664,0.06
Upadhriti De,HJUVM3930F,379,1964-11-15,Education Loan,42061,27650,YES,YES,10,8.56,195688,14806,1,0,0,55,Good,NO,Salaried,0,94355,2348256,0.08
Luke Gulati,RVZNB2418Q,797,1966-05-03,Car Loan,27367,10827,NO,YES,9,8.29,159189,7686,2,2,0,12,Good,NO,Salaried,0,182110,1910268,0.05
Hiral Wable,XOBNN3788Y,595,1982-10-23,Home Loan,14859,5123,NO,YES,6,15.51,186813,5342,4,1,3,31,Poor,NO,Self-Employed,1,15169,2241756,0.03
Raksha Chaudry,CCWDW9138J,623,1989-11-03,Personal Loan,45830,3658,YES,NO,10,16.45,72465,15601,4,0,5,57,Poor,YES,Self-Employed,0,412051,869580,0.22
Darsh Gopal,OHJTS5098T,645,1983-01-14,Education Loan,16639,1424,YES,NO,9,12.66,129978,9250,4,2,5,36,Poor,NO,Salaried,3,191148,1559736,0.07
Urmi Datta,WCTAC6303O,528,1984-05-02,Education Loan,3126,1943,YES,YES,4,8.69,119519,17397,0,2,1,70,Good,YES,Freelancer,2,341293,1434228,0.15
Bhanumati Lanka,IGMMA8127X,533,1967-10-05,Home Loan,25878,20608,NO,NO,3,14.91,51191,7438,4,1,3,21,Good,YES,Self-Employed,3,404340,614292,0.15
Arjun Sehgal,RULRO7934J,644,1997-08-23,Home Loan,34294,7506,NO,NO,4,8.49,187327,8957,1,0,1,72,Poor,YES,Freelancer,3,292949,2247924,0.05
Sara Dugar,KLSMV9876V,841,1970-08-20,Home Loan,6266,4246,NO,YES,9,12.77,101194,19651,3,1,3,34,Good,NO,Freelancer,1,404394,1214328,0.19
Bishakha Babu,IVFNE3898A,568,1985-01-30,Car Loan,17593,3724,NO,YES,8,16.68,157992,14654,5,0,0,35,Poor,YES,Freelancer,0,432345,1895904,0.09
Unni Dar,KFBOJ0572A,320,1994-07-02,Home Loan,11455,7518,NO,NO,7,10.33,74271,2368,0,2,0,13,Poor,YES,Self-Employed,0,128632,891252,0.03
